,,,,,,,,,,,
1600,"Direktion für Finanzen, Personal und Informatik (FPI)",,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"Direktion für Finanzen, Personal und Informatik (FPI)",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
x_neueseite_x,,,,,,,,,,,
1600,"Direktion für Finanzen, Personal und Informatik (FPI)",,,,,,,,,,
,,,,,,,,,,,
,Übersicht,,,,,,,,,,
,,,,,,,,,,,
Kosten und,,,Voranschlag,,Voranschlag,Rechnung,,Rechnung,,,
Erlöse,,,2012,,2011,2010,,2009,,,
,Bruttokosten,,"176,768,863.81",,"172,518,877.24","202,293,619.57",,"217,473,089.97",,,
,,,,,,,,,,,
,Erlöse,,"624,748,027.95",,"584,068,486.10","613,405,421.33",,"589,728,300.23",,,
,,,,,,,,,,,
,Nettoerlös,,"-447,979,164.14",,"411,549,608.86","411,111,801.76",,"372,255,210.26",,,
,,,,,,,,,,,
,Kostendeckungsgrad in %,,353.4%,,338.6%,303.2%,,271.2%,,,
,,,,,,,,,,,
,,,,,,,,,,,
Nummer,Dienststelle,Bruttokosten 2012,,,Erlös 2012,,,Nettoerlös,,Nettoerlös,Abweichung
,,Fr.,%,,Fr.,%,,2012 / Fr.,,2011 / Fr.,2012/2011 %
600,Direktionsstabsdienste / Fachstelle Beschaffungswesen,"1,788,731.80",1%,,"439,469.56",0%,,"-1,349,262.24",,"-1,378,528.61",-2%
,,,,,,,,,,,
610,Finanzverwaltung,"111,217,412.59",63%,,"138,510,782.89",22%,,"27,293,370.30",,"5,182,799.53",427%
,,,,,,,,,,,
620,Liegenschaftsverwaltung,"3,178,600.00",2%,,"2,815,000.00",0%,,"-363,600.00",,"-546,321.11",-33%
,,,,,,,,,,,
630,Steuerverwaltung,"20,895,220.12",12%,,"430,482,499.92",69%,,"409,587,279.80",,"395,855,192.12",3%
,,,,,,,,,,,
640,Personalamt,"5,955,823.80",3%,,"657,750.64",0%,,"-5,298,073.16",,"-4,733,934.87",12%
,,,,,,,,,,,
650,Informatikdienste,"18,423,614.86",10%,,"18,235,750.08",3%,,"-187,864.78",,"-119,100.00",58%
,,,,,,,,,,,
660,Schul- und Büromaterialzentrale,"10,714,156.04",6%,,"10,714,156.04",2%,,0.00,,"17,600.00",-100%
,,,,,,,,,,,
670,Finanzinspektorat,"1,550,904.60",1%,,"392,618.82",0%,,"-1,158,285.78",,0.00,-
,,,,,,,,,,,
690,Stadtbauten (StaBe),"3,044,400.00",2%,,"22,500,000.00",4%,,"19,455,600.00",,"17,271,901.80",13%
,,,,,,,,,,,
,,,,,,,,,,,
Bemerkungen,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
x_neueseite_x,,,,,,,,,,,
1600,"Direktion für Finanzen, Personal und Informatik (FPI)",,,,,,,,,,
,,,,,,,,,,,
,Übersicht - Fortsetzung,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
x_neueseite_x,,,,,,,,,,,
1600,"Direktion für Finanzen, Personal und Informatik (FPI)",,,,,,,,,,
,,,,,,,,,,,
,Übersicht - Fortsetzung,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
