,,,,,,,,,,,
1300,"Direktion für Bildung, Soziales und Sport (BSS)",,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"Direktion für Bildung, Soziales und Sport (BSS)",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
x_neueseite_x,,,,,,,,,,,
1300,"Direktion für Bildung, Soziales und Sport (BSS)",,,,,,,,,,
,,,,,,,,,,,
,Übersicht,,,,,,,,,,
,,,,,,,,,,,
Kosten und,,,Voranschlag,,Voranschlag,Rechnung,,Rechnung,,,
Erlöse,,,2012,,2011,2010,,2009,,,
,Bruttokosten,,"484,393,956.35",,"471,276,674.90","469,058,591.77",,"454,085,223.10",,,
,,,,,,,,,,,
,Erlöse,,"247,739,098.25",,"238,949,211.69","253,703,896.22",,"243,601,035.91",,,
,,,,,,,,,,,
,Nettokosten,,"236,654,858.10",,"232,327,463.21","215,354,695.55",,"210,484,187.19",,,
,,,,,,,,,,,
,Kostendeckungsgrad in %,,51.1%,,50.7%,54.1%,,53.6%,,,
,,,,,,,,,,,
,,,,,,,,,,,
Nummer,Dienststelle,Bruttokosten 2012,,,Erlös 2012,,,Nettokosten,,Nettokosten,Abweichung
,,Fr.,%,,Fr.,%,,2012 / Fr.,,2011 / Fr.,2012/2011 %
300,"Direktionsstabsdienste, Koordinationsstelle Sucht und Kompetenzzentrum Integration","80,568,109.35",17%,,"135,062,213.70",55%,,"-54,494,104.35",,"-65,511,809.40",-17%
,,,,,,,,,,,
310,Sozialamt,"135,955,419.42",28%,,"44,677,501.82",18%,,"91,277,917.60",,"93,955,821.69",-3%
,,,,,,,,,,,
320,Schulamt,"114,629,207.00",24%,,"19,046,075.08",8%,,"95,583,131.92",,"97,561,338.55",-2%
,,,,,,,,,,,
330,Jugendamt,"59,512,596.45",12%,,"15,027,958.43",6%,,"44,484,638.02",,"43,647,471.67",2%
,,,,,,,,,,,
