,,,,,,,,,,,
1100,Präsidialdirektion (PRD),,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Präsidialdirektion (PRD),,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
x_neueseite_x,,,,,,,,,,,
1100,Präsidialdirektion (PRD),,,,,,,,,,
,,,,,,,,,,,
,Übersicht,,,,,,,,,,
,,,,,,,,,,,
Kosten und,,,Voranschlag,,Voranschlag,Rechnung,,Rechnung,,,
Erlöse,,,2012,,2011,2010,,2009,,,
,Bruttokosten,,52^^^772^^^844.81,,52^^^189^^^010.55,52^^^147^^^509.37,,54^^^012^^^946.61,,,
,,,,,,,,,,,
,Erlöse,,4^^^509^^^080.1,,4^^^474^^^219.95,6^^^971^^^165.12,,7^^^596^^^154.64,,,
,,,,,,,,,,,
,Nettokosten,,48^^^263^^^764.71,,47^^^714^^^790.6,45^^^176^^^344.25,,46^^^416^^^791.97,,,
,,,,,,,,,,,
,Kostendeckungsgrad in %,,8.5%,,8.6%,13.4%,,14.1%,,,
,,,,,,,,,,,
,,,,,,,,,,,
Nummer,Dienststelle,Bruttokosten 2012,,,Erlös 2012,,,Nettokosten,,Nettokosten,Abweichung
,,Fr.,%,,Fr.,%,,2012 / Fr.,,2011 / Fr.,2012/2011 %
100,Direktionsstabsdienste und Gleichstellung,4^^^345^^^531.25,8%,,298^^^084.3,7%,,4^^^047^^^446.95,,4^^^406^^^823.04,-8%
,,,,,,,,,,,
110,Abteilung Kulturelles,35^^^645^^^989.71,68%,,1^^^071^^^289.9,24%,,34^^^574^^^699.81,,33^^^816^^^105.25,2%
,,,,,,,,,,,
120,Denkmalpflege,1^^^172^^^182.82,2%,,405^^^862,9%,,766^^^320.82,,682^^^876.9,12%
,,,,,,,,,,,
130,Abteilung Stadtentwicklung,2^^^322^^^101.25,4%,,38^^^826.2,1%,,2^^^283^^^275.05,,2^^^446^^^884.14,-7%
,,,,,,,,,,,
150,Bauinspektorat,4^^^465^^^715.13,8%,,2^^^527^^^881.8,56%,,1^^^937^^^833.33,,1^^^868^^^310.62,4%
,,,,,,,,,,,
170,Stadtplanungsamt,4^^^821^^^324.65,9%,,167^^^135.9,4%,,4^^^654^^^188.75,,4^^^493^^^790.65,4%
,,,,,,,,,,,
,,,,,,,,,,,
Bemerkungen,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
x_neueseite_x,,,,,,,,,,,
1100,Präsidialdirektion (PRD),,,,,,,,,,
,,,,,,,,,,,
,Übersicht - Fortsetzung,,,,,,,,,,
,,,,,,,,,,,
Bemerkungen,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
